Metabolites,0014_LC_20171106_sample_0015,0014_LC_20171106_sample_0049,0014_LC_20171107_sample_0065,0014_LC_20171111_sample_183,0014_LC_20171111_sample_196,0014_LC_20171106_sample_0045,0014_LC_20171106_sample_0047,0014_LC_20171107_sample_0083,0014_LC_20171107_sample_0089,0014_LC_20171110_sample_139,0014_LC_20171106_sample_0024,0014_LC_20171106_sample_0037,0014_LC_20171110_sample_108,0014_LC_20171111_sample_165,0014_LC_20171112_sample_224,0014_LC_20171106_sample_0012,0014_LC_20171106_sample_0023,0014_LC_20171106_sample_0027,0014_LC_20171110_sample_103,0014_LC_20171110_sample_128,0014_LC_20171107_sample_0099,0014_LC_20171110_sample_109,0014_LC_20171110_sample_135,0014_LC_20171111_sample_158,0014_LC_20171111_sample_166,0014_LC_20171106_sample_0014,0014_LC_20171107_sample_0055,0014_LC_20171110_sample_125,0014_LC_20171111_sample_169,0014_LC_20171111_sample_197,0014_LC_20171106_sample_0048,0014_LC_20171107_sample_0053,0014_LC_20171107_sample_0097,0014_LC_20171111_sample_154,0014_LC_20171111_sample_164,0014_LC_20171107_sample_0056,0014_LC_20171107_sample_0076,0014_LC_20171107_sample_0084,0014_LC_20171110_sample_140,0014_LC_20171111_sample_162
CE(16:0),2.94,3.31,2.02,4.88,5.91,7.1,5.57,5.83,8.1,5.31,6.52,2.3,4.98,3.25,3.91,3.32,6.7,5.15,7.31,5.46,8.84,6.96,7.06,5.04,4.69,3.45,5.4,6.37,5.6,6.68,3.77,2.98,5.52,5.75,3.6,5.31,4.48,5.52,1.97,3.79
CE(16:0),1.1,1.19,0.83,1.72,1.66,1.39,1.59,1.69,2.3,1.72,1.84,0.87,1.64,1.18,1.29,1.19,1.86,1.52,1.96,1.71,2.35,2,2.1,1.65,1.56,1.18,1.47,2,1.71,1.95,1.24,1.05,1.5,1.83,1.3,1.42,1.32,1.57,0.67,1.29
CE(18:1),1.46,1.76,1.49,2.95,3.59,4.78,2.82,3.21,3.28,3,3.18,1.54,2.87,3.14,3.27,2.16,3.57,2.81,4.33,2.76,3.84,3.54,4.03,3.39,3.07,2.19,3.09,3.89,4.84,3.24,2.26,2.1,2.91,3.43,2.73,2.85,2.54,3.4,2.17,2.53
CE(18:2),12.19,6.5,1.64,19.39,5.35,5.53,17.85,20.24,7.67,13.46,4.31,7.37,16.76,10.39,6.77,11.86,22.6,18.64,10.18,3.76,7.21,22.8,21.73,18.74,5.77,5.17,18.29,23.68,20.54,5.26,2.64,4.46,15.57,8.98,9.17,16.36,16.48,16.61,3.04,2.95
CE(20:3),0.64,0.18,0.5,1.54,0.27,0.31,1.35,1.47,1.88,0.6,1.12,0.48,1.15,0.96,0.16,0.86,1.68,1.37,0.47,1.55,1.61,1.62,2.04,1.44,0.22,0.12,1.34,1.91,2.05,1.73,0.94,0.08,1.52,0.3,1.19,1.18,0.93,1.37,0.18,1.19
CE(20:4),2.36,0.07,1.72,3.64,0.17,0.55,3.91,4.26,7.55,1.15,4.22,0.95,3.68,1.57,0.01,2.96,5.32,4.03,1.1,4.71,5.74,4.69,4.73,3.05,0.03,0.01,3.65,4.55,4.24,4.85,3,0.01,3.58,0.31,2.91,3.77,2.9,3.96,0.01,3.11
CE(20:5),0.32,0.01,0.01,0.51,0.01,0.01,0.53,0.75,0.16,0.01,0.01,0.23,0.24,0.37,0.01,0.4,0.86,0.56,0.01,0.01,0.22,1.96,1.31,2.4,0.01,0.01,0.32,0.57,0.87,0.01,0.01,0.01,0.6,0.01,0.47,0.08,0.01,1.74,0.01,0.01
LPC(16:0e),0.09,0.18,0.09,0.09,0.17,0.21,0.09,0.09,0.1,0.16,0.09,0.08,0.09,0.08,0.18,0.08,0.09,0.08,0.18,0.09,0.1,0.09,0.09,0.09,0.18,0.16,0.09,0.09,0.08,0.09,0.09,0.17,0.09,0.16,0.08,0.08,0.09,0.08,0.14,0.09
LPC(16:0p),0.08,0.13,0.08,0.09,0.14,0.14,0.08,0.09,0.09,0.12,0.08,0.08,0.08,0.08,0.15,0.08,0.09,0.08,0.13,0.09,0.09,0.09,0.09,0.08,0.15,0.11,0.08,0.08,0.08,0.09,0.08,0.13,0.08,0.12,0.08,0.08,0.08,0.08,0.12,0.08
LPC(16:1),0.09,0.11,0.14,0.1,0.12,0.12,0.1,0.11,0.18,0.11,0.16,0.11,0.11,0.11,0.11,0.09,0.1,0.1,0.12,0.13,0.2,0.09,0.1,0.09,0.11,0.1,0.11,0.1,0.11,0.14,0.13,0.11,0.1,0.11,0.09,0.1,0.09,0.11,0.1,0.15
